상품 코드,상품명,상품군,정상 가격,판매 상태,최종 수정일
P0001,무선 충전기 1,디지털 액세서리,"7,300원",판매 중,2027-01-08
P0002,미니 가습기 1,생활가전,"8,600원",판매 중,2027-01-11
P0003,보온 텀블러 1,주방용품,"10,000원",판매 중,2027-01-14
P0004,노트 1,문구,"11,400원",판매 중,2027-01-17
P0005,드립백 커피 1,식품,"12,800원",판매 중,2027-01-20
P0006,에코백 1,패션잡화,"14,100원",판매 중,2027-01-23
P0007,패브릭 포스터 1,홈데코,"15,500원",판매 중,2027-01-26
P0008,산책 파우치 1,반려용품,"16,900원",판매 중,2027-01-29
P0009,USB-C 허브 1,디지털 액세서리,"18,300원",판매 중,2027-02-01
P0010,탁상용 선풍기 1,생활가전,"19,600원",판매 중,2027-02-04
P0011,실리콘 조리도구 1,주방용품,"21,000원",판매 중,2027-02-07
P0012,젤펜 세트 1,문구,"22,400원",판매 중,2027-02-10
P0013,허브티 1,식품,"23,700원",판매 중,2027-02-13
P0014,파우치 1,패션잡화,"25,100원",판매 중,2027-02-16
P0015,디퓨저 1,홈데코,"26,500원",판매 중,2027-02-19
P0016,급수 보틀 1,반려용품,"27,900원",판매 중,2027-02-22
P0017,노트북 거치대 1,디지털 액세서리,"29,200원",판매 중단,2027-02-25
P0018,전기포트 1,생활가전,"30,600원",판매 중,2027-02-28
P0019,도마 세트 1,주방용품,"32,000원",판매 중,2027-03-03
P0020,데스크 매트 1,문구,"33,400원",판매 중,2027-03-06
P0021,견과 세트 1,식품,"34,700원",판매 중,2027-03-09
P0022,카드 지갑 1,패션잡화,"36,100원",판매 중,2027-03-12
P0023,캔들 1,홈데코,"37,500원",판매 중,2027-03-15
P0024,노즈워크 매트 1,반려용품,"38,900원",판매 중,2027-03-18
P0025,블루투스 키보드 1,디지털 액세서리,"40,200원",판매 중,2027-03-21
P0026,핸디 청소기 1,생활가전,"41,600원",판매 중,2027-03-24
P0027,밀폐 용기 1,주방용품,"43,000원",판매 중,2027-03-27
P0028,파일 홀더 1,문구,"44,300원",판매 중,2027-03-30
P0029,그래놀라 1,식품,"45,700원",판매 중,2027-04-02
P0030,양말 세트 1,패션잡화,"47,100원",판매 중,2027-04-05
P0031,미니 화병 1,홈데코,"48,500원",판매 중,2027-04-08
P0032,장난감 세트 1,반려용품,"49,800원",판매 중,2027-04-11
P0033,웹캠 1,디지털 액세서리,"51,200원",판매 중,2027-04-14
P0034,LED 스탠드 1,생활가전,"52,600원",판매 중단,2027-04-17
P0035,드립포트 1,주방용품,"54,000원",판매 중,2027-04-20
P0036,메모 패드 1,문구,"55,300원",판매 중,2027-04-23
P0037,수제 쿠키 1,식품,"56,700원",판매 중,2027-04-26
P0038,캡 모자 1,패션잡화,"58,100원",판매 중,2027-04-29
P0039,쿠션 커버 1,홈데코,"59,400원",판매 중,2027-05-02
P0040,배변 봉투 1,반려용품,"60,800원",판매 중,2027-05-05
P0041,무선 충전기 2,디지털 액세서리,"62,200원",판매 중,2027-05-08
P0042,미니 가습기 2,생활가전,"63,600원",판매 중,2027-05-11
P0043,보온 텀블러 2,주방용품,"64,900원",판매 중,2027-05-14
P0044,노트 2,문구,"66,300원",판매 중,2027-05-17
P0045,드립백 커피 2,식품,"67,700원",판매 중,2027-05-20
P0046,에코백 2,패션잡화,"69,100원",판매 중,2027-05-23
P0047,패브릭 포스터 2,홈데코,"70,400원",판매 중,2027-05-26
P0048,산책 파우치 2,반려용품,"71,800원",판매 중,2027-05-29
P0049,USB-C 허브 2,디지털 액세서리,"73,200원",판매 중,2027-06-01
P0050,탁상용 선풍기 2,생활가전,"74,600원",판매 중,2027-06-04
P0051,실리콘 조리도구 2,주방용품,"75,900원",판매 중단,2027-06-07
P0052,젤펜 세트 2,문구,"77,300원",판매 중,2027-06-10
P0053,허브티 2,식품,"78,700원",판매 중,2027-06-13
P0054,파우치 2,패션잡화,"80,000원",판매 중,2027-06-16
P0055,디퓨저 2,홈데코,"81,400원",판매 중,2027-06-19
P0056,급수 보틀 2,반려용품,"82,800원",판매 중,2027-06-22
P0057,노트북 거치대 2,디지털 액세서리,"84,200원",판매 중,2027-06-25
P0058,전기포트 2,생활가전,"85,500원",판매 중,2027-06-28
P0059,도마 세트 2,주방용품,"86,900원",판매 중,2027-01-07
P0060,데스크 매트 2,문구,"88,300원",판매 중,2027-01-10
P0061,견과 세트 2,식품,"89,700원",판매 중,2027-01-13
P0062,카드 지갑 2,패션잡화,"91,000원",판매 중,2027-01-16
P0063,캔들 2,홈데코,"92,400원",판매 중,2027-01-19
P0064,노즈워크 매트 2,반려용품,"93,800원",판매 중,2027-01-22
P0065,블루투스 키보드 2,디지털 액세서리,"95,100원",판매 중,2027-01-25
P0066,핸디 청소기 2,생활가전,"96,500원",판매 중,2027-01-28
P0067,밀폐 용기 2,주방용품,"97,900원",판매 중,2027-01-31
P0068,파일 홀더 2,문구,"99,300원",판매 중단,2027-02-03
P0069,그래놀라 2,식품,"100,600원",판매 중,2027-02-06
P0070,양말 세트 2,패션잡화,"102,000원",판매 중,2027-02-09
P0071,미니 화병 2,홈데코,"103,400원",판매 중,2027-02-12
P0072,장난감 세트 2,반려용품,"104,800원",판매 중,2027-02-15
P0073,웹캠 2,디지털 액세서리,"106,100원",판매 중,2027-02-18
P0074,LED 스탠드 2,생활가전,"107,500원",판매 중,2027-02-21
P0075,드립포트 2,,"108,900원",판매 중,2027-02-24
P0076,메모 패드 2,문구,"110,200원",판매 중,2027-02-27
P0077,수제 쿠키 2,식품,"111,600원",판매 중,2027-03-02
P0078,캡 모자 2,패션잡화,"113,000원",판매 중,2027-03-05
P0079,쿠션 커버 2,홈데코,"114,400원",판매 중,2027-03-08
P0080,배변 봉투 2,반려용품,"115,700원",판매 중,2027-03-11
P0081,무선 충전기 3,디지털 액세서리,"117,100원",판매 중,2027-03-14
P0082,미니 가습기 3,생활가전,"118,500원",판매 중,2027-03-17
P0083,보온 텀블러 3,주방용품,"119,900원",판매 중,2027-03-20
P0084,노트 3,문구,"121,200원",판매 중,2027-03-23
P0085,드립백 커피 3,식품,"122,600원",판매 중단,2027-03-26
P0086,에코백 3,패션잡화,"124,000원",판매 중,2027-03-29
P0087,패브릭 포스터 3,홈데코,"125,400원",판매 중,2027-04-01
P0088,산책 파우치 3,반려용품,"126,700원",판매 중,2027-04-04
P0089,USB-C 허브 3,디지털 액세서리,"128,100원",판매 중,2027-04-07
P0090,탁상용 선풍기 3,생활가전,"129,500원",판매 중,2027-04-10
P0091,실리콘 조리도구 3,주방용품,"130,800원",판매 중,2027-04-13
P0092,젤펜 세트 3,문구,"132,200원",판매 중,2027-04-16
P0093,허브티 3,식품,"133,600원",판매 중,2027-04-19
P0094,파우치 3,패션잡화,"135,000원",판매 중,2027-04-22
P0095,디퓨저 3,홈데코,"136,300원",판매 중,2027-04-25
P0096,급수 보틀 3,반려용품,"137,700원",판매 중,2027-04-28
P0097,노트북 거치대 3,디지털 액세서리,"139,100원",판매 중,2027-05-01
P0098,전기포트 3,생활가전,"140,500원",판매 중,2027-05-04
P0099,도마 세트 3,주방용품,"141,800원",판매 중,2027-05-07
P0100,데스크 매트 3,문구,"143,200원",판매 중,2027-05-10
P0101,견과 세트 3,식품,"144,600원",판매 중,2027-05-13
P0102,카드 지갑 3,패션잡화,"145,900원",판매 중단,2027-05-16
P0103,캔들 3,홈데코,"147,300원",판매 중,2027-05-19
P0104,노즈워크 매트 3,반려용품,"148,700원",판매 중,2027-05-22
P0105,블루투스 키보드 3,디지털 액세서리,"150,100원",판매 중,2027-05-25
P0106,핸디 청소기 3,생활가전,"6,400원",판매 중,2027-05-28
P0107,밀폐 용기 3,주방용품,"7,800원",판매 중,2027-05-31
P0108,파일 홀더 3,문구,"9,200원",판매 중,2027-06-03
P0109,그래놀라 3,식품,"10,600원",판매 중,2027-06-06
P0110,양말 세트 3,패션잡화,"11,900원",판매 중,2027-06-09
P0111,미니 화병 3,홈데코,"13,300원",판매 중,2027-06-12
P0112,장난감 세트 3,반려용품,"14,700원",판매 중,2027-06-15
P0113,웹캠 3,디지털 액세서리,"16,000원",판매 중,2027-06-18
P0114,LED 스탠드 3,생활가전,"17,400원",판매 중,2027-06-21
P0115,드립포트 3,주방용품,"18,800원",판매 중,2027-06-24
P0116,메모 패드 3,문구,"20,200원",판매 중,2027-06-27
P0117,수제 쿠키 3,식품,"21,500원",판매 중,2027-01-06
P0118,캡 모자 3,패션잡화,"22,900원",판매 중,2027-01-09
P0119,쿠션 커버 3,홈데코,"24,300원",판매 중단,2027-01-12
P0120,배변 봉투 3,반려용품,"25,700원",판매 중,2027-01-15
P0121,무선 충전기 4,디지털 액세서리,"27,000원",판매 중,2027-01-18
P0122,미니 가습기 4,생활가전,"28,400원",판매 중,2027-01-21
P0123,보온 텀블러 4,주방용품,"29,800원",판매 중,2027-01-24
P0124,노트 4,문구,"31,200원",판매 중,2027-01-27
P0125,드립백 커피 4,식품,"32,500원",판매 중,2027-01-30
P0126,에코백 4,패션잡화,"33,900원",판매 중,2027-02-02
P0127,패브릭 포스터 4,홈데코,"35,300원",판매 중,2027-02-05
P0128,산책 파우치 4,반려용품,"36,600원",판매 중,2027-02-08
P0129,USB-C 허브 4,디지털 액세서리,"38,000원",판매 중,2027-02-11
P0130,탁상용 선풍기 4,생활가전,"39,400원",판매 중,2027-02-14
P0131,실리콘 조리도구 4,주방용품,"40,800원",판매 중,2027-02-17
P0132,젤펜 세트 4,문구,"42,100원",판매 중,2027-02-20
P0133,허브티 4,식품,"43,500원",판매 중,2027-02-23
P0134,파우치 4,패션잡화,"44,900원",판매 중,2027-02-26
P0135,디퓨저 4,홈데코,"46,300원",판매 중,2027-03-01
P0136,급수 보틀 4,반려용품,"47,600원",판매 중단,2027-03-04
P0137,노트북 거치대 4,디지털 액세서리,"49,000원",판매 중,2027-03-07
P0138,전기포트 4,생활가전,"50,400원",판매 중,2027-03-10
P0139,도마 세트 4,주방용품,"51,700원",판매 중,2027-03-13
P0140,데스크 매트 4,문구,"53,100원",판매 중,2027-03-16
P0141,견과 세트 4,식품,"54,500원",판매 중,2027-03-19
P0142,카드 지갑 4,패션잡화,"55,900원",판매 중,2027-03-22
P0143,캔들 4,홈데코,"57,200원",판매 중,2027-03-25
P0144,노즈워크 매트 4,반려용품,"58,600원",판매 중,2027-03-28
P0145,블루투스 키보드 4,디지털 액세서리,"60,000원",판매 중,2027-03-31
P0146,핸디 청소기 4,생활가전,"61,400원",판매 중,2027-04-03
P0147,밀폐 용기 4,주방용품,"62,700원",판매 중,2027-04-06
P0148,파일 홀더 4,,"64,100원",판매 중,2027-04-09
P0149,그래놀라 4,식품,"65,500원",판매 중,2027-04-12
P0150,양말 세트 4,패션잡화,"66,800원",판매 중,2027-04-15
P0151,미니 화병 4,홈데코,"68,200원",판매 중,2027-04-18
P0152,장난감 세트 4,반려용품,"69,600원",판매 중,2027-04-21
P0153,웹캠 4,디지털 액세서리,"71,000원",판매 중단,2027-04-24
P0154,LED 스탠드 4,생활가전,"72,300원",판매 중,2027-04-27
P0155,드립포트 4,주방용품,"73,700원",판매 중,2027-04-30
P0156,메모 패드 4,문구,"75,100원",판매 중,2027-05-03
P0157,수제 쿠키 4,식품,"76,500원",판매 중,2027-05-06
P0158,캡 모자 4,패션잡화,"77,800원",판매 중,2027-05-09
P0159,쿠션 커버 4,홈데코,"79,200원",판매 중,2027-05-12
P0160,배변 봉투 4,반려용품,"80,600원",판매 중,2027-05-15
P0161,무선 충전기 5,디지털 액세서리,"82,000원",판매 중,2027-05-18
P0162,미니 가습기 5,생활가전,"83,300원",판매 중,2027-05-21
