주문번호,주문일,상품코드,수량,판매단가,주문상태
O2027060001,2027/06/08 11:17,P0030,2,41900,배송 완료
O2027060002,2027.06.15 22:34,P0059,3,88600,배송 완료
O2027060003,06/22/2027 09:51,P0089,4,110200,결제 완료
O2027060004,2027-06-29 20:08,P0118,5,22700,배송 완료
O2027060005,2027/06/06 07:25,P0147,1,52000,배송 완료
O2027060006,2027.06.13 18:42,P0177,2,99700,결제 완료
O2027060007,06/20/2027 05:59,P0206,3,115000,배송 완료
O2027060008,2027-06-27 16:16,P0236,4,37100,배송 완료
O2027060009,2027/06/04 03:33,P0266,5,62400,결제 완료
O2027060010,2027.06.11 14:50,P0295,1,108800,배송 완료
O2027060011,06/18/2027 01:07,P0324,2,16300,배송 완료
O2027060012,2027-06-25 12:24,P0029,3,39800,결제 완료
O2027060013,2027/06/02 23:41,P0058,4,85500,배송 완료
O2027060014,2027.06.09 10:58,P0088,5,106400,배송 완료
O2027060015,06/16/2027 21:15,P0117,1,20900,결제 완료
O2027060016,2027-06-23 08:32,P0146,2,49700,배송 완료
O2027060017,2027/06/30 19:49,P0176,3,96400,배송 완료
O2027060018,2027.06.07 06:06,P0205,4,111100,결제 완료
O2027060019,06/14/2027 17:23,P0235,5,35100,배송 완료
O2027060020,2027-06-21 04:40,P0265,1,82900,배송 완료
O2027060021,2027/06/28 15:57,P0294,2,105200,결제 완료
O2027060022,2027.06.05 02:14,P0323,3,14500,배송 완료
O2027060023,06/12/2027 13:31,P0028,4,37700,배송 완료
O2027060024,2027-06-19 00:48,P0057,5,82500,결제 완료
O2027060025,2027/06/26 11:05,P0087,1,102800,배송 완료
O2027060026,2027.06.03 22:22,P0116,2,19200,배송 완료
O2027060027,06/10/2027 09:39,P0145,3,47400,결제 완료
O2027060028,2027-06-17 20:56,P0175,4,93100,배송 완료
O2027060029,2027/06/24 07:13,P0204,5,107200,배송 완료
O2027060030,2027.06.01 18:30,P0234,1,33100,결제 완료
O2027060031,06/08/2027 05:47,P0264,2,80000,배송 완료
O2027060032,2027-06-15 16:04,P0293,3,101700,배송 완료
O2027060033,2027/06/22 03:21,P0322,4,12900,결제 완료
O2027060034,2027.06.29 14:38,P0027,5,35700,배송 완료
O2027060035,06/06/2027 01:55,P0056,1,79500,배송 완료
O2027060036,2027-06-13 12:12,P0086,2,99200,결제 완료
O2027060037,2027/06/20 23:29,P0115,3,17500,배송 완료
O2027060038,2027.06.27 10:46,P0144,4,45100,배송 완료
O2027060039,06/04/2027 21:03,P0174,5,89800,결제 완료
O2027060040,2027-06-11 08:20,P0203,1,143800,배송 완료
O2027060041,2027/06/18 19:37,P0233,2,31100,배송 완료
O2027060042,2027.06.25 06:54,P0263,3,77000,결제 완료
O2027060043,06/02/2027 17:11,P0292,4,98100,배송 완료
O2027060044,2027-06-09 04:28,P0321,5,11300,배송 완료
O2027060045,2027/06/16 15:45,P0026,1,33700,결제 완료
O2027060046,2027.06.23 02:02,P0055,2,76500,배송 완료
O2027060047,06/30/2027 13:19,P0085,3,95600,배송 완료
O2027060048,2027-06-07 00:36,P0114,4,15800,결제 완료
O2027060049,2027/06/14 11:53,P0143,5,59500,배송 완료
O2027060050,2027.06.21 22:10,P0173,1,86600,배송 완료
O2027060051,06/28/2027 09:27,P0202,2,139600,결제 완료
O2027060052,2027-06-05 20:44,P0232,3,29200,배송 완료
O2027060053,2027/06/12 07:01,P0262,4,74100,배송 완료
O2027060054,2027.06.19 18:18,P0291,5,94600,결제 완료
O2027060055,06/26/2027 05:35,P0320,1,9800,배송 완료
O2027060056,2027-06-03 16:52,P0025,2,31800,배송 완료
O2027060057,2027/06/10 03:09,P0054,3,73600,결제 완료
O2027060058,2027.06.17 14:26,P0084,4,92100,배송 완료
O2027060059,06/24/2027 01:43,P0113,5,14200,배송 완료
O2027060060,2027-06-01 12:00,P0142,1,57000,결제 완료
O2027060061,2027/06/08 23:17,P0172,2,83500,배송 완료
O2027060062,2027.06.15 10:34,P0201,3,135500,배송 완료
O2027060063,06/22/2027 21:51,P0231,4,27500,결제 완료
O2027060064,2027-06-29 08:08,P0261,5,71300,배송 완료
O2027060065,2027/06/06 19:25,P0290,1,91300,배송 완료
O2027060066,2027.06.13 06:42,P0319,2,8300,결제 완료
O2027060067,06/20/2027 17:59,P0024,3,30000,배송 완료
O2027060068,2027-06-27 04:16,P0053,4,70800,배송 완료
O2027060069,2027/06/04 15:33,P0083,5,123500,결제 완료
O2027060070,2027.06.11 02:50,P0112,1,12800,배송 완료
O2027060071,06/18/2027 13:07,P0141,2,54500,배송 완료
O2027060072,2027-06-25 00:24,P0171,3,80400,결제 완료
O2027060073,2027/06/02 11:41,P0200,4,131400,배송 완료
O2027060074,2027.06.09 22:58,P0230,5,25700,배송 완료
O2027060075,06/16/2027 09:15,P0259,1,67200,결제 완료
O2027060076,2027-06-23 20:32,P0289,2,87900,배송 완료
O2027060077,2027/06/30 07:49,P0318,3,6800,배송 완료
O2027060078,2027.06.07 18:06,P0023,4,39000,결제 완료
O2027060079,06/14/2027 05:23,P0052,5,68000,배송 완료
O2027060080,2027-06-21 16:40,P0082,1,119700,배송 완료
O2027060081,2027/06/28 03:57,P0111,2,11300,결제 완료
O2027060082,2027.06.05 14:14,P0140,3,52000,배송 완료
O2027060083,06/12/2027 01:31,P0170,4,77300,배송 완료
O2027060084,2027-06-19 12:48,P0199,5,127400,결제 완료
O2027060085,2027/06/26 23:05,P0229,1,23900,배송 완료
O2027060086,2027.06.03 10:22,P0258,2,64500,배송 완료
O2027060087,06/10/2027 21:39,P0288,3,84600,결제 완료
O2027060088,2027-06-17 08:56,P0317,4,5400,배송 완료
O2027060089,2027/06/24 19:13,P0022,5,36800,배송 완료
O2027060090,2027.06.01 06:30,P0051,1,65300,결제 완료
O2027060091,06/08/2027 17:47,P0081,2,115900,배송 완료
O2027060092,2027-06-15 04:04,P0110,3,9900,배송 완료
O2027060093,2027/06/22 15:21,P0139,4,49600,결제 완료
O2027060094,2027.06.29 02:38,P0169,5,74300,배송 완료
O2027060095,06/06/2027 13:55,P0198,1,123500,배송 완료
O2027060096,2027-06-13 00:12,P0228,2,22300,결제 완료
O2027060097,2027/06/20 11:29,P0257,3,61900,배송 완료
O2027060098,2027.06.27 22:46,P0287,4,113300,배송 완료
O2027060099,06/04/2027 09:03,P0316,5,130300,결제 완료
O2027060100,2027-06-11 20:20,X0001,1,34700,배송 완료
O2027060101,2027/06/18 07:37,X0002,2,62700,배송 완료
O2027060102,2027.06.25 18:54,X0003,3,112200,결제 완료
O2027060103,06/02/2027 05:11,X0004,4,8600,배송 완료
O2027060104,2027-06-09 16:28,X0005,5,47400,배송 완료
O2027060105,2027/06/16 03:45,P0168,1,71400,결제 완료
O2027060106,2027.06.23 14:02,P0197,2,119600,배송 완료
O2027060107,06/30/2027 01:19,P0227,3,28700,배송 완료
O2027060108,2027-06-07 12:36,P0256,4,59300,결제 완료
O2027060109,2027/06/14 23:53,P0286,5,109700,배송 완료
O2027060110,2027.06.21 10:10,P0315,1,126100,배송 완료
O2027060111,06/28/2027 21:27,P0020,2,32700,결제 완료
O2027060112,2027-06-05 08:44,P0049,3,60000,배송 완료
O2027060113,2027/06/12 19:01,P0079,4,108700,배송 완료
O2027060114,2027.06.19 06:18,P0108,5,7300,결제 완료
O2027060115,06/26/2027 17:35,P0137,1,45100,배송 완료
O2027060116,2027-06-03 04:52,P0167,2,68600,배송 완료
O2027060117,2027/06/10 15:09,P0196,3,115700,결제 완료
O2027060118,2027.06.17 02:26,P0226,4,26700,배송 완료
O2027060119,06/24/2027 13:43,P0255,5,56800,배송 완료
O2027060120,2027-06-01 00:00,P0285,1,106100,결제 완료
O2027060121,2027/06/08 11:17,P0314,2,122000,배송 완료
O2027060122,2027.06.15 22:34,P0019,3,30700,배송 완료
O2027060123,06/22/2027 09:51,P0048,4,57400,결제 완료
O2027060124,2027-06-29 20:08,P0078,5,105100,배송 완료
O2027060125,2027/06/06 07:25,P0107,1,6000,배송 완료
O2027060126,2027.06.13 18:42,P0136,2,42800,결제 완료
O2027060127,06/20/2027 05:59,P0166,3,91500,배송 완료
O2027060128,2027-06-27 16:16,P0195,4,111900,배송 완료
O2027060129,2027/06/04 03:33,P0225,5,24800,결제 완료
O2027060130,2027.06.11 14:50,P0254,1,54300,배송 완료
O2027060131,06/18/2027 01:07,P0284,2,102600,배송 완료
O2027060132,2027-06-25 12:24,P0313,3,117900,결제 완료
O2027060133,2027/06/02 23:41,P0018,4,28800,배송 완료
O2027060134,2027.06.09 10:58,P0047,5,54900,배송 완료
O2027060135,06/16/2027 21:15,P0077,1,101600,결제 완료
O2027060136,2027-06-23 08:32,P0106,2,6700,배송 완료
O2027060137,2027/06/30 19:49,P0135,3,40700,배송 완료
O2027060138,2027.06.07 06:06,P0165,4,88300,결제 완료
O2027060139,06/14/2027 17:23,P0194,5,108200,배송 완료
O2027060140,2027-06-21 04:40,P0224,1,23000,배송 완료
O2027060141,2027/06/28 15:57,P0253,2,51900,결제 완료
O2027060142,2027.06.05 02:14,P0283,3,99300,배송 완료
O2027060143,06/12/2027 13:31,P0312,4,114000,배송 완료
O2027060144,2027-06-19 00:48,P0017,5,26900,결제 완료
O2027060145,2027/06/26 11:05,P0046,1,52500,배송 완료
O2027060146,2027.06.03 22:22,P0076,2,98100,배송 완료
O2027060147,06/10/2027 09:39,P0105,3,153100,결제 완료
O2027060148,2027-06-17 20:56,P0134,4,38600,배송 완료
O2027060149,2027/06/24 07:13,P0164,5,85200,배송 완료
